,Ticker,Date,Metric,Value
416,A,2023-10-31,Tax Effect Of Unusual Items,0.0
417,A,2023-10-31,Tax Rate For Calcs,0.074
418,A,2023-10-31,Normalized EBITDA,1705000000.0
419,A,2023-10-31,Net Income From Continuing Operation Net Minority Interest,1240000000.0
420,A,2023-10-31,Reconciled Depreciation,271000000.0
421,A,2023-10-31,Reconciled Cost Of Revenue,3368000000.0
422,A,2023-10-31,EBITDA,1705000000.0
423,A,2023-10-31,EBIT,1434000000.0
424,A,2023-10-31,Net Interest Income,-44000000.0
425,A,2023-10-31,Interest Expense,95000000.0
426,A,2023-10-31,Interest Income,51000000.0
427,A,2023-10-31,Normalized Income,1240000000.0
428,A,2023-10-31,Net Income From Continuing And Discontinued Operation,1240000000.0
429,A,2023-10-31,Total Expenses,5483000000.0
430,A,2023-10-31,Total Operating Income As Reported,1350000000.0
431,A,2023-10-31,Diluted Average Shares,296000000.0
432,A,2023-10-31,Basic Average Shares,294000000.0
433,A,2023-10-31,Diluted EPS,4.19
434,A,2023-10-31,Basic EPS,4.22
435,A,2023-10-31,Diluted NI Availto Com Stockholders,1240000000.0
436,A,2023-10-31,Net Income Common Stockholders,1240000000.0
437,A,2023-10-31,Net Income,1240000000.0
438,A,2023-10-31,Net Income Including Noncontrolling Interests,1240000000.0
439,A,2023-10-31,Net Income Continuous Operations,1240000000.0
440,A,2023-10-31,Tax Provision,99000000.0
441,A,2023-10-31,Pretax Income,1339000000.0
442,A,2023-10-31,Other Income Expense,33000000.0
443,A,2023-10-31,Other Non Operating Income Expenses,33000000.0
444,A,2023-10-31,Net Non Operating Interest Income Expense,-44000000.0
445,A,2023-10-31,Interest Expense Non Operating,95000000.0
446,A,2023-10-31,Interest Income Non Operating,51000000.0
447,A,2023-10-31,Operating Income,1350000000.0
448,A,2023-10-31,Operating Expense,2115000000.0
449,A,2023-10-31,Research And Development,481000000.0
450,A,2023-10-31,Selling General And Administration,1634000000.0
451,A,2023-10-31,Gross Profit,3465000000.0
452,A,2023-10-31,Cost Of Revenue,3368000000.0
453,A,2023-10-31,Total Revenue,6833000000.0
454,A,2023-10-31,Operating Revenue,6833000000.0
1809,AAPL,2024-09-30,Tax Effect Of Unusual Items,0.0
1810,AAPL,2024-09-30,Tax Rate For Calcs,0.240912
1811,AAPL,2024-09-30,Normalized EBITDA,134661000000.0
1812,AAPL,2024-09-30,Net Income From Continuing Operation Net Minority Interest,93736000000.0
1813,AAPL,2024-09-30,Reconciled Depreciation,11445000000.0
1814,AAPL,2024-09-30,Reconciled Cost Of Revenue,210352000000.0
