id,date,fed_funds_rate,cpi,unemployment_rate,gdp_growth
1,2000-01-01,5.45,169.3,4.0,1.5
2,2000-02-01,5.73,170.0,4.1,
3,2000-03-01,5.85,171.0,4.0,
4,2000-04-01,6.02,170.9,3.8,7.5
5,2000-05-01,6.27,171.2,4.0,
6,2000-06-01,6.53,172.2,4.0,
7,2000-07-01,6.54,172.7,4.0,0.4
8,2000-08-01,6.5,172.7,4.1,
9,2000-09-01,6.52,173.6,3.9,
10,2000-10-01,6.51,173.9,3.9,2.4
11,2000-11-01,6.51,174.2,3.9,
12,2000-12-01,6.4,174.6,3.9,
13,2001-01-01,5.98,175.6,4.2,-1.3
14,2001-02-01,5.49,176.0,4.2,
15,2001-03-01,5.31,176.1,4.3,
16,2001-04-01,4.8,176.4,4.4,2.5
17,2001-05-01,4.21,177.3,4.3,
18,2001-06-01,3.97,177.7,4.5,
19,2001-07-01,3.77,177.4,4.6,-1.6
20,2001-08-01,3.65,177.4,4.9,
21,2001-09-01,3.07,178.1,5.0,
22,2001-10-01,2.49,177.6,5.3,1.1
23,2001-11-01,2.09,177.5,5.5,
24,2001-12-01,1.82,177.4,5.7,
25,2002-01-01,1.73,177.7,5.7,3.4
26,2002-02-01,1.74,178.0,5.7,
27,2002-03-01,1.73,178.5,5.7,
28,2002-04-01,1.75,179.3,5.9,2.5
29,2002-05-01,1.75,179.5,5.8,
30,2002-06-01,1.75,179.6,5.8,
31,2002-07-01,1.73,180.0,5.8,1.6
32,2002-08-01,1.74,180.5,5.7,
33,2002-09-01,1.75,180.8,5.7,
34,2002-10-01,1.75,181.2,5.7,0.5
35,2002-11-01,1.34,181.5,5.9,
36,2002-12-01,1.24,181.8,6.0,
37,2003-01-01,1.24,182.6,5.8,2.1
38,2003-02-01,1.26,183.6,5.9,
39,2003-03-01,1.25,183.9,5.9,
40,2003-04-01,1.26,183.2,6.0,3.6
41,2003-05-01,1.26,182.9,6.1,
42,2003-06-01,1.22,183.1,6.3,
43,2003-07-01,1.01,183.7,6.2,6.8
44,2003-08-01,1.03,184.5,6.1,
45,2003-09-01,1.01,185.1,6.1,
46,2003-10-01,1.01,184.9,6.0,4.7
47,2003-11-01,1.0,185.0,5.8,
48,2003-12-01,0.98,185.5,5.7,
49,2004-01-01,1.0,186.3,5.7,2.3
50,2004-02-01,1.01,186.7,5.6,
51,2004-03-01,1.0,187.1,5.8,
52,2004-04-01,1.0,187.4,5.6,3.1
53,2004-05-01,1.0,188.2,5.6,
54,2004-06-01,1.03,188.9,5.6,
55,2004-07-01,1.26,189.1,5.5,3.8
