,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLC,XLU
longBusinessSummary,"The Advisor employs a replication strategy. The fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Consumer Discretionary companies by the Global Industry Classification Standard (GICS®). It is non-diversified.","In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Consumer Staples companies by the GICS®. It is non-diversified.","In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Energy companies by the GICS®, including securities of companies from the following industries: oil, gas and consumable fuels; and energy equipment and services. It is non-diversified.","The fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Financial companies by the Global Industry Classification Standard, including securities of companies from the following industries: financial services; insurance; banks; capital markets; mortgage real estate investment trusts; and consumer finance. The fund is non-diversified.","In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies from the following industries: pharmaceuticals; health care equipment & supplies; health care providers & services; biotechnology; life sciences tools & services; and health care technology. The fund is non-diversified.","Under normal market conditions, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Industrial companies by the Global Industry Classification Standard, including securities of companies from the following industries: aerospace and defense; industrial conglomerates; marine transportation. It is non-diversified.","In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes securities of companies from the following industries: chemicals; metals and mining; paper and forest products; containers and packaging; and construction materials. The fund is non-diversified.","Under normal market conditions, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Real Estate companies by the Global Industry Classification Standard (GICS®). The fund is non-diversified.","In seeking to track the performance of the index, the fund employs a replication strategy, which means that the fund typically invests in substantially all of the securities represented in the index in approximately the same proportions as the index. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The fund is non-diversified.","Normally, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Communication Services companies by the GICS®, including securities of companies from the following industries: diversified telecommunication services; wireless telecommunication services; media; entertainment; and interactive media & services. The fund is non-diversified.","In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes securities of companies from the following industries: electric utilities; water utilities; multi-utilities; independent power and renewable electricity producers; and gas utilities. The fund is non-diversified."
maxAge,86400,86400,86400,86400,86400,86400,86400,86400,86400,86400,86400
priceHint,2,2,2,2,2,2,2,2,2,2,2
previousClose,197.16,82.01,90.28,47.15,151.11,137.1,95.99,43.89,231.75,91.0,81.34
open,195.58,81.6,90.03,47.1,150.7,136.96,95.74,43.78,230.89,90.79,81.4
dayLow,193.8251,81.44,89.4141,47.02,149.61,136.54,95.63,43.74,227.59,90.275,81.25
dayHigh,196.025,81.97,90.375,47.22,150.93,137.545,96.26,44.3099,231.24,91.09,81.96
regularMarketPreviousClose,197.16,82.01,90.28,47.15,151.11,137.1,95.99,43.89,231.75,91.0,81.34
regularMarketOpen,195.58,81.6,90.03,47.1,150.7,136.96,95.74,43.78,230.89,90.79,81.4
regularMarketDayLow,193.8251,81.44,89.4141,47.02,149.61,136.54,95.63,43.74,227.59,90.275,81.25
regularMarketDayHigh,196.025,81.97,90.375,47.22,150.93,137.545,96.26,44.3099,231.24,91.09,81.96
trailingPE,30.269491,27.898672,8.288387,21.372225,25.401207,29.336578,18.436787,33.84638,43.17709,34.096535,28.758366
volume,1072258,3614304,5486581,9951989,2619672,4451471,2144334,2581052,1484745,1466366,5944811
regularMarketVolume,1072258,3614304,5486581,9951989,2619672,4451471,2144334,2581052,1484745,1466366,5944811
averageVolume,2925484,10415816,14774198,36336626,6900990,7674327,4048995,5348433,5091592,4234380,10818484
averageVolume10days,2128250,8602730,12421020,37469600,6524430,6580220,3286730,3901260,3747340,2870650,10648230
averageDailyVolume10Day,2128250,8602730,12421020,37469600,6524430,6580220,3286730,3901260,3747340,2870650,10648230
bid,194.4,81.91,89.59,47.17,149.99,136.81,95.94,44.25,228.44,90.46,81.82
ask,194.43,81.92,89.62,47.19,149.99,136.82,95.95,44.26,228.51,90.45,81.83
bidSize,900,2900,1000,36900,1200,1300,1300,4000,900,900,1400
askSize,900,3100,900,36900,800,1000,1200,3200,900,1200,800
yield,0.0075,0.0254,0.0339,0.0147,0.0147,0.0136,0.0183,0.031,0.0069,0.0097,0.0274
totalAssets,19484006400,17807366144,35469139968,42114596864,41938018304,19618410496,5565542400,8301280256,70102024192,18646757376,18436536320
fiftyTwoWeekLow,147.83,66.38,78.98,31.36,122.59,96.12,74.4,31.99,159.5,62.82,58.53
